Meaning,Clade,Language,Romanized,Native Script,Phonemic,Phoenetic,Cognate Set
ant,Tocharian,Tocharian B,warme*,,wərme,ˈwərme,*moru̯i- [Proto-Indo-European]
ant,Hellenic,Greek: Ancient,mýrmēx,μύρμηξ,mýrmɛːks,mýrmɛːks,*moru̯i- [Proto-Indo-European]
ant,Hellenic,Greek: Modern Std,myrmī́gki,μυρμήγκι,mirˈminki,mirˈmiɲɟi,*moru̯i- [Proto-Indo-European]
ant,Hellenic,Greek: Cappadocian,mourmoúk(i),μουρμούκ(ι),murˈmuk(i),murˈmuc(i),*moru̯i- [Proto-Indo-European]
ant,Hellenic,Greek: Pontic,"m(y/e)rmī́ka, myrmī́ki(n)","μ(υ/ε)ρμήκα, μυρμήκι(ν)","m(i/e̞)rˈmika, mirˈmiki(n)","m(i/e̞)rˈmikə, mirˈmiki(n)",*moru̯i- [Proto-Indo-European]
ant,Hellenic,Greek: Cypriot,límpoyros,λίμπουρος,ˈlimpurɔs,ˈlimburɔs,*melit- [Proto-Indo-European]
ant,Hellenic,Greek: Italiot,vermī́tši,βερμήτσ̌ι,ve̞rˈmitʃi,ve̞rˈmitʃi,*moru̯i- [Proto-Indo-European]
ant,Hellenic,Tsakonian: Peloponnese,meligkóni,μελιγκόνι,me̞ʎiˈnko̞ɲi,me̞ʎiˈŋɡo̞ɲi,*melit- [Proto-Indo-European]
ant,Hellenic,Tsakonian: Propontis,mermī́tsi,μερμήτσι,me̞rˈmitsi,me̞rˈmitsi,*moru̯i- [Proto-Indo-European]
ant,Armenian,Armenian: Classical,mrǰiwn,մրջիւն,mi/uɾdʒi-u/ɑn-,məɾˈdʒjun,*moru̯i- [Proto-Indo-European]
ant,Armenian,Armenian: Eastern,mrǰyown,մրջյուն,m(ə)ɾdʒiun,məɾtʃʰˈjun,*moru̯i- [Proto-Indo-European]
ant,Armenian,Armenian: Western,mrǰiwn,մրջիւն,m(ə)ɾtʃʰi(-)u/ɑn,məɾˈtʃʰjun,*moru̯i- [Proto-Indo-European]
ant,Indic,Vedic: Early,vamráḥ,वम्रः,vamrás,ʋɐmˈɾɐh,*moru̯i- [Proto-Indo-European]
ant,Indic,Pali,pipīlikā,,pipiːlikaː,pɪpiːlɪkaː,pipīlá- [Vedic]
ant,Indic,Sinhalese,kuhum̆biyā,කුහුඹියා,,,kuhum̆biyā [Sinhalese]
ant,Indic,Assamese,pôruwā,পৰুৱা,,pɔɹuɑ,pôruwā [Assamese]
ant,Indic,Bengali,pim̐pṛe,পিঁপড়ে,,pĩpɽe,pipīlá- [Vedic]
ant,Indic,Maithili,cīṅṭī,चींटी,,tʃĩʈi,cīṇṭī [(Indic)]
ant,Indic,Magahi,cīṅuṭī,चींउटी,,tʃĩuʈi,cīṇṭī [(Indic)]
ant,Indic,Bhojpuri,ciūṇṭī,चिऊंटी,,tʃɪũʈi,cīṇṭī [(Indic)]
ant,Indic,Hindi,cīṇṭī,चींटी,tʃĩʈi,tʃĩʈi,cīṇṭī [(Indic)]
ant,Indic,Urdu,cīṇṭī,چینٹی,,tʃĩʈi,cīṇṭī [(Indic)]
ant,Indic,Nepali,kamilā,कमिला,,kʌmila,*kʷer- [Proto-Indo-European]
ant,Indic,Punjabi,kīṛī,ਕੀੜੀ,,,kīṭá- [Vedic]
ant,Indic,Marathi,muṅgī,मुंगी,,muŋɡiː,muṅgī [Marathi]
ant,Indic,Kashmiri,rey,ریئے,rɛj,rɛj,ریئے / rey [Kashmiri]
ant,Indic,Palula,pilíilu,پِلِیلوۡ,pilíilu,piˈliːlo,pipīlá- [Vedic]
ant,Indic,Gawri,pilil,پِلِیل,pilil HL,piˈl̪il̪̥,pipīlá- [Vedic]
ant,Indic,Gawarbati,pila,پِلہ,pila,piˈl̪ɞ,pipīlá- [Vedic]
ant,Indic,Khowar,piliili,پیلیلی,pilìli,piˈlʲiːlʲi,pipīlá- [Vedic]
ant,Indic,Pashai: North-West,pləlaakə,پله لاکه,pləlaːkə,pə̆ləˈlaˑkə,pipīlá- [Vedic]
