id,language_id,meaning_id,romanised,phon_form,gloss,notes,_order,dubious,not_swadesh_term,phoneMic,rfcWebLookup1,rfcWebLookup2,nativeScript
,0,1,oljoi,,,,,,,oljoi,,,
,0,2,atqe,,,,,,,atqe,,,
,0,3,bhugos,,,,,,,bhugos,,,
,0,4,,,,,,,,,,,
,0,5,ad,,,,,,,ad,,,
,0,6,awou,,,,,,,awou,,,
,0,7,dus,,,,,,,dus,,,
,0,8,baubājai,,,,,,,baubājai,,,
,0,9,jod,,,,,,,jod,,,
,0,10,tarsós,,,,,,,tarsós,,,
,0,11,crotsos,,,,,,,crotsos,,,
,0,12,awis,,,,,,,awis,,,
,0,13,denkō,,,,,,,denkō,,,
,0,14,ātros,,,,,,,ātros,,,
,0,15,esṛ,,,,,,,esṛ,,,
,0,16,wēmi,,,,,,,wēmi,,,
,0,17,ostis,,,,,,,ostis,,,
,0,19,ātō,,,,,,,ātō,,,
,0,20,prēmi,,,,,,,prēmi,,,
,0,21,pūpos,,,,,,,pūpos,,,
,0,22,nebhis,,,,,,,nebhis,,,
,0,23,kiklós,,,,,,,kiklós,,,
,0,24,cemjō,,,,,,,cemjō,,,
,0,25,,,,,,,,,,,
,0,26,kaidō,,,,,,,kaidō,,,
,0,27,dhochos,,,,,,,dhochos,,,
,0,28,mṛijai,,,,,,,mṛijai,,,
,0,29,bhodhjō,,,,,,,bhodhjō,,,
,0,30,coudhros,,,,,,,coudhros,,,
,0,31,kolignos,,,,,,,kolignos,,,
,0,32,ēchṛ,,,,,,,ēchṛ,,,
,0,33,ādmi,,,,,,,ādmi,,,
,0,34,,,,,,,,,,,
,0,35,pelwos,,,,,,,pelwos,,,
,0,36,ousis,,,,,,,ousis,,,
,0,37,dheghom,,,,,,,dheghom,,,
,0,38,áknāmi,,,,,,,áknāmi,,,
,0,39,ṓwijom,,,,,,,ṓwijom,,,
,0,40,oqos,,,,,,,oqos,,,
,0,41,kadō,,,,,,,kadō,,,
,0,42,dew,,,,,,,dew,,,
,0,43,lajos,,,,,,,lajos,,,
,0,44,p∂tēr,,,,,,,p∂tēr,,,
,0,45,,,,,,,,,,,
,0,46,peróm,,,,,,,peróm,,,
,0,47,,,,,,,,,,,
,0,48,katus,,,,,,,katus,,,
,0,50,ecnis,,,,,,,ecnis,,,
,0,51,piskis,,,,,,,piskis,,,
,0,52,penqe,,,,,,,penqe,,,
,0,53,,,,,,,,,,,
,0,54,bhleucō,,,,,,,bhleucō,,,
,0,55,bhlōs,,,,,,,bhlōs,,,
,0,56,cḷājō,,,,,,,cḷājō,,,
,0,57,kalgōn,,,,,,,kalgōn,,,
,0,58,pods,,,,,,,pods,,,
,0,59,q∂twṛes,,,,,,,q∂twṛes,,,
,0,60,prunsō,,,,,,,prunsō,,,
,0,61,ágrēnom,,,,,,,ágrēnom,,,
,0,63,dídōmi,,,,,,,dídōmi,,,
,0,64,bhilis,,,,,,,bhilis,,,
,0,65,ghrāsmṇ,,,,,,,ghrāsmṇ,,,
,0,66,ghelwos,,,,,,,ghelwos,,,
,0,67,sorwā,,,,,,,sorwā,,,
