id,language_id,meaning_id,romanised,phon_form,gloss,notes,_order,dubious,not_swadesh_term,phoneMic,rfcWebLookup1,rfcWebLookup2,nativeScript
,0,1,oljāi,,,,,,,oljāi,,,
,0,2,enim,,,,,,,enim,,,
,0,3,cīwotos,,,,,,,cīwotos,,,
,0,4,,,,,,,,,,,
,0,5,,,,,,,,,,,
,0,6,gurnos,,,,,,,gurnos,,,
,0,7,elkós,,,,,,,elkós,,,
,0,8,,,,,,,,,,,
,0,9,,,,,,,,,,,
,0,10,,,,,,,,,,,
,0,11,m∂gnos,,,,,,,m∂gnos,,,
,0,12,,,,,,,,,,,
,0,13,mordējō,,,,,,,mordējō,,,
,0,14,dhoubhús,,,,,,,dhoubhús,,,
,0,15,kruwós,,,,,,,kruwós,,,
,0,16,bhesmi,,,,,,,bhesmi,,,
,0,17,,,,,,,,,,,
,0,19,pneusō,,,,,,,pneusō,,,
,0,20,aidhō,,,,,,,aidhō,,,
,0,21,putlom,,,,,,,putlom,,,
,0,22,,,,,,,,,,,
,0,23,ougros,,,,,,,ougros,,,
,0,24,,,,,,,,,,,
,0,25,,,,,,,,,,,
,0,26,kretō,,,,,,,kretō,,,
,0,27,djēws,,,,,,,djēws,,,
,0,28,,,,,,,,,,,
,0,29,kánāmi,,,,,,,kánāmi,,,
,0,30,keqō,,,,,,,keqō,,,
,0,31,kwōn,,,,,,,kwōn,,,
,0,32,pibō,,,,,,,pibō,,,
,0,33,kserós,,,,,,,kserós,,,
,0,34,,,,,,,,,,,
,0,35,,,,,,,,,,,
,0,36,,,,,,,,,,,
,0,37,pḷtáwijā,,,,,,,pḷtáwijā,,,
,0,38,edmi,,,,,,,edmi,,,
,0,39,,,,,,,,,,,
,0,40,,,,,,,,,,,
,0,41,polnō,,,,,,,polnō,,,
,0,42,porsōd,,,,,,,porsōd,,,
,0,43,pīmós,,,,,,,pīmós,,,
,0,44,,,,,,,,,,,
,0,45,,,,,,,,,,,
,0,46,petsnā,,,,,,,petsnā,,,
,0,47,,,,,,,,,,,
,0,48,streudō,,,,,,,streudō,,,
,0,50,pāwṛ,,,,,,,pāwṛ,,,
,0,51,,,,,,,,,,,
,0,52,,,,,,,,,,,
,0,53,,,,,,,,,,,
,0,54,mejājō,,,,,,,mejājō,,,
,0,55,bhlōtis,,,,,,,bhlōtis,,,
,0,56,muskā,,,,,,,muskā,,,
,0,57,nebhlā,,,,,,,nebhlā,,,
,0,58,,,,,,,,,,,
,0,59,,,,,,,,,,,
,0,60,,,,,,,,,,,
,0,61,bhreugs,,,,,,,bhreugs,,,
,0,63,,,,,,,,,,,
,0,64,dwenos,,,,,,,dwenos,,,
,0,65,ghrāsom,,,,,,,ghrāsom,,,
,0,66,,,,,,,,,,,
,0,67,sternom,,,,,,,sternom,,,
,0,68,kaisrom,,,,,,,kaisrom,,,
,0,69,ghestos,,,,,,,ghestos,,,
,0,70,,,,,,,,,,,
,0,71,kersṛ,,,,,,,kersṛ,,,
,0,72,kḷneumi,,,,,,,kḷneumi,,,
,0,73,kṛdjom,,,,,,,kṛdjom,,,
,0,74,cr∂tos,,,,,,,cr∂tos,,,
,0,75,,,,,,,,,,,
,0,76,bhlagō,,,,,,,bhlagō,,,
,0,77,potējō,,,,,,,potējō,,,
