AncestorClass,Language,first_node_depth,proximate_node_depth,proximate_node_posterior_probability,most_recent,cladesOrder,clade_id,iso_code,language_id,ascii_name,Meaning,Clade,Romanized,Native.Script,Phonemic,Phoenetic,Cognate.Set,Ancestor,Date,evolution_time
Proto-Iranic,Sarikoli,5520,1550,1,0,2,23,srh,296,Sarikoli,throw,Iranic,patewd,,patewd,,? *tau̯- [Proto-Iranic],tau̯,4200,4200
Proto-Iranic,Sarikoli,5520,1550,1,0,2,23,srh,296,Sarikoli,hide,Iranic,naghmeeg,,naɣmɵɡ,,? *(h)mauč- [Proto-Iranic],*(h)mauč-,4200,4200
Proto-Indo-European,Umbrian,5564,2750,0.95,2150,3,5,xum,132,Umbrian,take,Italic,hahtu,,,,?*⁽g̑⁾ʰeHb- [Proto-Indo-European],⁽g̑⁾ʰeHb,8120,5970
Proto-Indo-European,Old Irish,4889,1600,1,1250,3,15,sga,127,OldIrish,take,Celtic,gaibid,,ˈɡaβʲəθʲ,ˈɡˠæβʲɪðʲ,?*⁽g̑⁾ʰeHb- [Proto-Indo-European],⁽g̑⁾ʰeHb,8120,6870
Proto-Indo-European,Gaelic: Manx,4889,600,1,200,3,15,glv,147,GaelicManx,take,Celtic,goaill,,ɡoːlʲ,ɡoːlʲ,?*⁽g̑⁾ʰeHb- [Proto-Indo-European],⁽g̑⁾ʰeHb,8120,7920
Proto-Indo-European,Gaelic: Irish,4889,1000,1,0,3,15,gle,38,GaelicIrish,take,Celtic,tóg,,ˈtˠoːɡˠ,ˈt̪ˠʰoːɡ̊ˠ,?*⁽g̑⁾ʰeHb- [Proto-Indo-European],⁽g̑⁾ʰeHb,8120,8120
Proto-Indo-European,Gaelic: Scottish,4889,600,1,0,3,15,gla,115,GaelicScottish,take,Celtic,gabh,,ɡav,,?*⁽g̑⁾ʰeHb- [Proto-Indo-European],⁽g̑⁾ʰeHb,8120,8120
Proto-Indo-European,Vedic: Early,5520,4400,1,3550,2,24,san,105,VedicEarly,belly,Indic,udáram,उदरम्,udáram,uˈdɐrɐm,?*(H)u̯ed- [Proto-Indo-European],(H)u̯ed,8120,4570
Proto-Indo-European,Avestan: Younger,5520,4150,1,3000,2,23,ave,128,AvestanYounger,belly,Iranic,udara-,𐬎𐬛𐬀𐬭𐬀,udara,,?*(H)u̯ed- [Proto-Indo-European],(H)u̯ed,8120,5120
Proto-Indo-European,Pali,5520,3800,1,2500,2,24,pli,162,Pali,belly,Indic,udaro,udara,udaro,ʊdɐɾoː,?*(H)u̯ed- [Proto-Indo-European],(H)u̯ed,8120,5620
Proto-Indo-European,Latin,5564,3550,1,2050,3,5,lat,112,Latin,belly,Italic,uenter,,ˈwenter,ˈwenter,?*(H)u̯ed- [Proto-Indo-European],(H)u̯ed,8120,6070
Proto-Indo-European,Khotanese,5520,3300,0.24,1500,2,23,kho,174,Khotanese,belly,Iranic,ūri,,uːri,uːɾɪ,?*(H)u̯ed- [Proto-Indo-European],(H)u̯ed,8120,6620
Proto-Indo-European,Khwarazmian,5520,2500,0.67,900,2,23,xco,287,Khwarazmian,belly,Iranic,uδira,ʾwδr,uðira,,?*(H)u̯ed- [Proto-Indo-European],(H)u̯ed,8120,7220
Proto-Indo-European,Anglo-Norman,5564,1200,1,750,3,5,xno,203,AngloNorman,belly,Italic,ventre,,,,?*(H)u̯ed- [Proto-Indo-European],(H)u̯ed,8120,7370
Proto-Indo-European,Old Catalan,5564,850,1,750,3,5,cat,289,OldCatalan,belly,Italic,ventre,,bentɾə,bentɾə,?*(H)u̯ed- [Proto-Indo-European],(H)u̯ed,8120,7370
Proto-Indo-European,Old Spanish,5564,800,0.81,700,3,5,osp,204,OldSpanish,belly,Italic,vientre,,ˈbjentɾe,,?*(H)u̯ed- [Proto-Indo-European],(H)u̯ed,8120,7420
Proto-Indo-European,Old Prussian,3663,2500,1,500,3,11,prg,108,OldPrussian,belly,Baltic,weders,,,,?*(H)u̯ed- [Proto-Indo-European],(H)u̯ed,8120,7620
Proto-Indo-European,Dalmatian: Vegliote,5564,1100,0.24,150,3,5,dlm,207,DalmatianVegliote,belly,Italic,vi̯antro,,ˈvjantro,,?*(H)u̯ed- [Proto-Indo-European],(H)u̯ed,8120,7970
Proto-Indo-European,Franco-Provençal,5564,300,0.99,0,3,5,frp,220,FrancoProvencal,belly,Italic,vëtro,,ˈvʌtrɔ,ˈvʌːtɾɞ̞,?*(H)u̯ed- [Proto-Indo-European],(H)u̯ed,8120,8120
Proto-Indo-European,French,5564,300,0.99,0,3,5,fra,25,French,belly,Italic,ventre,,vɑ̃tʁ,vɑ̃tʁ̥,?*(H)u̯ed- [Proto-Indo-European],(H)u̯ed,8120,8120
Proto-Indo-European,Gawarbati,6981,1950,0.98,0,2,24,gwt,288,Gawarbati,belly,Indic,war,ور,war,ʋɞɾ,?*(H)u̯ed- [Proto-Indo-European],(H)u̯ed,8120,8120
Proto-Indo-European,Latgalian,3663,300,1,0,3,11,ltg,190,Latgalian,belly,Baltic,vādars,,vaːdars,ˈvaːdars,?*(H)u̯ed- [Proto-Indo-European],(H)u̯ed,8120,8120
Proto-Indo-European,Latvian,3663,300,1,0,3,11,lav,44,Latvian,belly,Baltic,vēders,,væːdærs,ˈvæːdærs,?*(H)u̯ed- [Proto-Indo-European],(H)u̯ed,8120,8120
Proto-Indo-European,Sardinian: Nuoro,5564,550,1,0,3,5,src,63,SardinianNuoro,belly,Italic,bentre,,ˈbɛntrɛ,ˈbɛntrɛ,?*(H)u̯ed- [Proto-Indo-European],(H)u̯ed,8120,8120
Proto-Indo-European,Ladin,5564,1050,0.24,0,3,5,lld,42,Ladin,belly,Italic,venter,,ˈventɛr,,?*(H)u̯ed- [Proto-Indo-European],(H)u̯ed,8120,8120
Proto-Indo-European,Vâsi-vari: Paṣki,6981,1600,1,0,2,27,prn,307,VasiVariPaski,belly,Nuristani,′ül,,ˈyl,ˈyl,?*(H)u̯ed- [Proto-Indo-European],(H)u̯ed,8120,8120
Proto-Indo-European,Yaghnobi,5520,1800,1,0,2,23,yai,208,Yaghnobi,belly,Iranic,dára,,,ˈdara,?*(H)u̯ed- [Proto-Indo-European],(H)u̯ed,8120,8120
Proto-Indo-European,Walloon,5564,600,0.98,0,3,5,wln,76,Walloon,belly,Italic,vinte,,vẽːt,vẽːt,?*(H)u̯ed- [Proto-Indo-European],(H)u̯ed,8120,8120
Proto-Indo-European,Wakhi,5520,1550,1,0,2,23,wbl,75,Wakhi,belly,Iranic,dur,,dur,,?*(H)u̯ed- [Proto-Indo-European],(H)u̯ed,8120,8120
Proto-Indo-European,Sardinian: Logudoro,5564,550,1,0,3,5,src,62,SardinianLogudoro,belly,Italic,matta,,ˈmatta,ˈmatta,?*(H)u̯ed- [Proto-Indo-European],(H)u̯ed,8120,8120
Proto-Indo-European,Sarikoli,5520,1550,1,0,2,23,srh,296,Sarikoli,belly,Iranic,dewr,,dewɾ,,?*(H)u̯ed- [Proto-Indo-European],(H)u̯ed,8120,8120
Proto-Indo-European,Old Church Slavonic,3663,1400,0.45,1000,3,11,chu,100,OldChurchSlavonic,wing,Slavic,krilo,крило,krilo,krilɔ,?*(s)k⁽ʷ⁾rei̯- [Proto-Indo-European],(s)k⁽ʷ⁾rei̯,8120,7120
Proto-Indo-European,Old Novgorod,3663,1250,0.95,850,3,11,orv,245,OldNovgorod,wing,Slavic,šestokrilĭnyi,шестокрильныи,ʃɛstɔˈkrʲilʲnʲɛjɪ,ʃɛstɔˈkrʲilʲnʲɛjɪ̆,?*(s)k⁽ʷ⁾rei̯- [Proto-Indo-European],(s)k⁽ʷ⁾rei̯,8120,7270
Proto-Indo-European,Old Czech,3663,800,1,650,3,11,ces,243,OldCzech,wing,Slavic,křídlo,,ˈkr̝iːdlo,ˈkr̝̊ʲiːdɫɔ,?*(s)k⁽ʷ⁾rei̯- [Proto-Indo-European],(s)k⁽ʷ⁾rei̯,8120,7470
Proto-Indo-European,Old Polish,3663,700,1,550,3,11,pol,238,OldPolish,wing,Slavic,(s)krzydło,,(s)kr̝idlo,(s)kr̝̊ʲidɫɔ,?*(s)k⁽ʷ⁾rei̯- [Proto-Indo-European],(s)k⁽ʷ⁾rei̯,8120,7570
Proto-Indo-European,Polabian,3663,650,1,300,3,11,pox,176,Polabian,wing,Slavic,kraidlĕ,,ˈkraidlɘ,ˈkraidlɘ,?*(s)k⁽ʷ⁾rei̯- [Proto-Indo-European],(s)k⁽ʷ⁾rei̯,8120,7820
Proto-Indo-European,Belarusian,3663,200,1,0,3,11,bel,16,Belarusian,wing,Slavic,krylo,крыло,kriˈlo,krɨˈɫɔ,?*(s)k⁽ʷ⁾rei̯- [Proto-Indo-European],(s)k⁽ʷ⁾rei̯,8120,8120
Proto-Indo-European,Bulgarian,3663,500,0.28,0,3,11,bul,15,Bulgarian,wing,Slavic,krilo,крило,kriˈlo,kɾʲiˈɫɔ,?*(s)k⁽ʷ⁾rei̯- [Proto-Indo-European],(s)k⁽ʷ⁾rei̯,8120,8120
Proto-Indo-European,Czech,3663,400,0.99,0,3,11,ces,18,Czech,wing,Slavic,křídlo,,ˈkr̝iːdlo,ˈkr̝̊iːdlɔ,?*(s)k⁽ʷ⁾rei̯- [Proto-Indo-European],(s)k⁽ʷ⁾rei̯,8120,8120
Proto-Indo-European,Lithuanian,3663,1400,1,0,3,11,lit,46,Lithuanian,round,Baltic,ãpskritas,,ˈaːpsʲkʲrʲɪtas,ˈɑːpsʲkʲrʲɪtɐs,?*(s)k⁽ʷ⁾rei̯- [Proto-Indo-European],(s)k⁽ʷ⁾rei̯,8120,8120
