,language_id,id,cladesOrder,clade_id,iso_code,first_node_depth,proximate_node_depth,proximate_node_posterior_probability,ascii_name,utf8_name,description,earliestTimeDepthBound,latestTimeDepthBound,progress,author,foss_stat,glottocode,level0,level1,level2,level3,low_stat,representative,reviewer,rfcWebPath1,rfcWebPath2,soundcompcode,variety,sortRankInClade,sndCompLevel0,sndCompLevel1,sndCompLevel2,sndCompLevel3,entryTimeframe,originalAsciiName,historical,notInExport,distribution,logNormalMean,logNormalOffset,logNormalStDev,normalMean,normalStDev,uniformLower,uniformUpper,latitude,longitude,exampleLanguage,fragmentary,nativeScriptIsRtl,loc_justification
373,286,26606,3,30,aae,3663,1100,1,AlbanianArberesh,Albanian: Arbëresh,,NA,NA,5,Borana Lushaj,FALSE,arbe1236,5,0,0,0,FALSE,FALSE,NA,,NA,NA,,40,0,0,0,0,NA,,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,38.882,16.488,FALSE,FALSE,FALSE,"Set on the village of Caraffa di Catanzaro in Calabira, toe 'toe' of Italy, the variety targeted here."
1,3,3049,3,30,aln,3663,250,1,AlbanianGheg,Albanian: Gheg,,NA,NA,5,Ulrich Geupel,FALSE,gheg1238,5,0,0,0,FALSE,FALSE,NA,,NA,NA,,20,9,1,0,0,NA,Albanian_Gheg,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,42.667,21.167,FALSE,FALSE,FALSE,"Set on Pristina, the capital of Kosovo, as a reference point for the variety targeted, namely north-eastern Gheg as spoken roughly in Kosovo."
189,143,3050,3,30,sqi,3663,250,1,AlbanianStandard,Albanian: Standard,"Adjectives are cited with the accompanying (sort of) article: i for masculine and e for feminine. Nouns are cited in their indefinite forms. Due to a lack of infinitive, verbs are cited in the 1st person singular active indicative.",NA,NA,5,Michiel de Vaan,FALSE,alba1267,5,0,0,0,FALSE,TRUE,NA,,NA,NA,,30,9,1,0,0,NA,Albanian_Standard,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,41.111,20.081,FALSE,FALSE,FALSE,"Set on the city of Elbasan, whose historical variety is a transitional dialect that features both Gheg and Tosk elements and was used as a first standard language in the early 20th century.  This had an important impact on what was since further development into today's standard language, and although not completely identical with it, remains close to the modern standard."
146,110,51719,3,21,grc,5310,2500,1,AncientGreek,Greek: Ancient,"Classical Attic. For phonological description and phonetic reconstruction cf. Allen (1987).  Verb forms listed in 1.sg. present indicative unless otherwise specified.  Nouns listed in nominative singular unless otherwise specified.  Transliterations follow the ALA-LC system, with the addition of accentual diacritics.",NA,NA,5,Matthew Scarborough,FALSE,anci1242,3,1,0,0,FALSE,TRUE,NA,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=,NA,NA,,20,5,0,0,0,NA,Ancient_Greek,TRUE,FALSE,N,NA,NA,NA,2400,32,NA,NA,37.96,23.73,FALSE,FALSE,FALSE,"Site of Classical Athens, the area where the Attic dialect of Ancient Greek originated."
147,110,51720,2,43,grc,5310,2500,1,AncientGreek,Greek: Ancient,"Classical Attic. For phonological description and phonetic reconstruction cf. Allen (1987).  Verb forms listed in 1.sg. present indicative unless otherwise specified.  Nouns listed in nominative singular unless otherwise specified.  Transliterations follow the ALA-LC system, with the addition of accentual diacritics.",NA,NA,5,Matthew Scarborough,FALSE,anci1242,3,1,0,0,FALSE,TRUE,NA,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=,NA,NA,,20,5,0,0,0,NA,Ancient_Greek,TRUE,FALSE,N,NA,NA,NA,2400,32,NA,NA,37.96,23.73,FALSE,FALSE,FALSE,"Site of Classical Athens, the area where the Attic dialect of Ancient Greek originated."
241,203,52067,3,5,xno,5564,1200,1,AngloNorman,Anglo-Norman,,NA,NA,5,Heather Pagan,FALSE,angl1258,9,1,1,0,FALSE,FALSE,NA,http://www.anglo-norman.net/D/,NA,NA,,61,0,0,0,0,NA,Anglo-Norman,TRUE,FALSE,N,NA,NA,NA,700,50,NA,NA,51.5,-0.14,FALSE,FALSE,FALSE,"Set in Westminster, traditional venue for the coronation of English monarchs since Norman times."
243,203,52069,1,34,xno,5564,1200,1,AngloNorman,Anglo-Norman,,NA,NA,5,Heather Pagan,FALSE,angl1258,9,1,1,0,FALSE,FALSE,NA,http://www.anglo-norman.net/D/,NA,NA,,61,0,0,0,0,NA,Anglo-Norman,TRUE,FALSE,N,NA,NA,NA,700,50,NA,NA,51.5,-0.14,FALSE,FALSE,FALSE,"Set in Westminster, traditional venue for the coronation of English monarchs since Norman times."
242,203,52068,2,51,xno,5564,1200,1,AngloNorman,Anglo-Norman,,NA,NA,5,Heather Pagan,FALSE,angl1258,9,1,1,0,FALSE,FALSE,NA,http://www.anglo-norman.net/D/,NA,NA,,61,0,0,0,0,NA,Anglo-Norman,TRUE,FALSE,N,NA,NA,NA,700,50,NA,NA,51.5,-0.14,FALSE,FALSE,FALSE,"Set in Westminster, traditional venue for the coronation of English monarchs since Norman times."
3,8,3047,3,31,hye,5310,400,1,ArmenianEastern,Armenian: Eastern,,NA,NA,5,Martin Macak,FALSE,nucl1235,4,0,0,0,FALSE,FALSE,NA,,NA,NA,Yerevan variety.,20,9,3,0,0,NA,Armenian_Eastern,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,40.181,44.514,TRUE,FALSE,FALSE,"Set in Yerevan, the capital of Armenia, the dialect of which historically forms the basis of colloquial Eastern Armenian and is the most widespread of the Armenian dialects today."
2,7,3048,3,31,hyw,5310,400,1,ArmenianWestern,Armenian: Western,,NA,NA,5,Martin Macak,FALSE,homs1234,4,0,0,0,FALSE,FALSE,NA,,NA,NA,"Western Armenian literary language, ultimately closely related to the dialect of the Erzerum area.",30,9,3,0,0,NA,Armenian_Western,FALSE,FALSE,_,NA,NA,NA,NA,NA,NA,NA,39.91,41.28,FALSE,FALSE,FALSE,"Set in the town of Erzurum, formerly a major dialect area of Western Armenian in Asia Minor, and ultimately closely related to the Western Armenian literary language effectively based on the dialect of Constantinople (Istanbul)."
