"","id","language_id","meaning_id","romanised","phon_form","gloss","notes","X_order","dubious","not_swadesh_term","phoneMic","rfcWebLookup1","rfcWebLookup2","nativeScript"
"1832",5113,22,1,"all","","","",0,"False","False","ɔːl","5151?",NA,""
"1833",5114,22,2,"and","","","",1,"False","False","ænd","7283?",NA,""
"1834",5115,22,3,"animal","","","borrowed from French into ME",2,"False","False","ˈænɪməl","273779?",NA,""
"1835",5116,22,4,"ashes","","","",3,"False","False","ˈæʃɪz","11436",NA,""
"1836",5117,22,5,"at","","","",4,"False","False","æt","12369?",NA,""
"1837",5118,22,6,"back","","","",5,"False","False","bæk","14332",NA,""
"1838",5119,22,7,"bad","","","Middle English badde",6,"False","False","bæd","14540",NA,""
"1839",5120,22,8,"bark","","","",7,"False","False","bɑːk","15567",NA,""
"1840",5121,22,9,"because","","","",8,"False","False","bɪkɒz","16742?",NA,""
"1841",5122,22,10,"belly","","","",9,"False","True","bɛli","17482?",NA,""
"1842",5123,22,11,"big","","","",10,"False","False","bɪɡ","18833",NA,""
"1843",5124,22,12,"bird","","","From Old English brid 'young bird'.",11,"False","False","bɜːd","19327",NA,""
"1844",5125,22,13,"bite","","","Old English bītan",12,"False","False","baɪt","19532",NA,""
"1845",5126,22,14,"black","","","Middle English blak, Old English blæc",13,"False","False","blæk","19670",NA,""
"1846",5127,22,15,"blood","","","Middle English blod, Old English blōd",14,"False","False","blʌd","20391",NA,""
"1847",5128,22,16,"blow","","","Middle English blowen, Old English blāwan",15,"False","False","bləʊ","20523?",NA,""
"1848",5129,22,17,"bone","","","Middle English bon, Old English bān",16,"False","False","bəʊn","21294",NA,""
"1849",5130,22,19,"breathe","","","Middle English brethen, derived from Middle English breth 'breath' (Old English brǣth 'odour, exhalation')",17,"False","False","bɹiːð","22974",NA,""
"1850",5131,22,20,"burn","","","Middle English burnen, Old English beornan 'to be on fire' and bærnan 'to set on fire'",18,"False","False","bɜːn","25028",NA,""
"1851",5132,22,21,"child","","","Old English cild",19,"False","False","tʃaɪld","31619?",NA,""
"1852",5133,22,22,"cloud","","","Old English clūd 'rock, hill', in modern sense first appears in 13th century",20,"False","False","klaʊd","34689",NA,""
"1853",5134,22,23,"cold","","","Old English ceald",21,"False","False","kəʊld","36101",NA,""
"1854",5135,22,24,"come","","","Middle English comen, Old English cuman",22,"False","False","kʌm","36824",NA,""
"1855",5136,22,25,"count","","","Middle English counte, from Old French conter, from Latin computāre 'to calculate' (com- + peu-)",23,"False","False","kaʊnt","42619",NA,""
"1856",5137,22,26,"cut","","","Middle English cutten",24,"False","False","kʌt","46341",NA,""
"1857",5138,22,27,"day","","","Middle English day, dai, Old English dæg",25,"False","False","deɪ","47522",NA,""
"1858",5139,22,28,"die","","","Middle English dien, presumably a borrowing from Old Norse deyja.",26,"False","False","daɪ","52392",NA,""
"1859",5140,22,29,"dig","","","Prob < OFr diguer 'to make dyke, hollow out the earth, < Gmc, cf. Du dijk 'dyke'.",27,"False","False","dɪɡ","52553",NA,""
"1860",5141,22,30,"dirty","","","From Middle English, from Old Norse drit 'excrement, mud, filth'",28,"False","False","ˈdɜːti","53367",NA,""
"1861",5142,22,31,"dog","","","Middle English dogge. Etymology unknown.",29,"False","False","dɔɡ","56405",NA,""
"1862",5143,22,32,"drink","","","Middle English drinken, Old English drincan",30,"False","False","dɹɪŋk","57749",NA,""
"1863",5144,22,33,"dry","","","Middle English drie, Old English drȳge",31,"False","False","dɹaɪ","58072",NA,""
"1864",5145,22,34,"dull","","","Middle English dul, Old English dol",32,"False","False","dʌl","58344?",NA,""
"1865",5146,22,35,"dust","","","",33,"False","False","dʌst","58683",NA,""
"1866",5147,22,36,"ear","","","Middle English ere, Old English ēare",34,"False","False","ɪə","58949",NA,""
"1867",5148,22,37,"earth","","","Middle English erthe, Old English eorthe",35,"False","False","ɜːθ","59023",NA,""
"1868",5149,22,38,"eat","","","Middle English eten, Old English etan",36,"False","False","iːt","59131",NA,""
"1869",5150,22,39,"egg","","","Middle English egge 'bird's egg' from Old Norse egg",37,"False","False","ɛɡ","59878",NA,""
"1870",5151,22,40,"eye","","","Middle English from Old English ēge, ēage",38,"False","False","aɪ","67296",NA,""
"1871",5152,22,41,"fall","","","Middle English fallen, Old English feallan",39,"False","False","fɔːl","67829",NA,""
"1872",5153,22,42,"far","","","Old English feor",40,"False","False","fɑː","68130",NA,""
"1873",5154,22,43,"fat","","","Middle English, from Old English fǣtt",41,"False","False","fæt","68474?",NA,""
"1874",5155,22,44,"father","","","",42,"False","False","fɑːðə","68498?",NA,""
"1875",5156,22,45,"be scared","","","",43,"False","False","bi skɛːd","172018",NA,""
"1876",5157,22,46,"feather","","","Middle English fether",44,"False","False","ˈfɛðə","68811",NA,""
"1877",5158,22,47,"few","","","Middle English fewe, Old English fēawe",45,"False","False","fjuː","69699?",NA,""
"1878",5159,22,48,"fight","","","Middle English fighten, Old English feohtan, fihtan",46,"False","False","faɪt","70038",NA,""
"1879",5160,22,50,"fire","","","Middle English fir, Old English fȳr",47,"False","False","faɪə","70512",NA,""
"1880",5161,22,51,"fish","","","Old English fisc",48,"False","False","fɪʃ","70646",NA,""
"1881",5162,22,52,"five","","","Old English fīf",49,"False","False","faɪv","70797",NA,""
"1882",5163,22,53,"to float","","","Middle English flotan, Old English flotian",50,"False","False","fləʊt","71731?",NA,""
"1883",5164,22,54,"to flow","","","",51,"False","False","fləʊ","72001?",NA,""
"1884",5165,22,55,"flower","","","Loanword from Romance (Buck 1949:526); Middle English flour from Old French flor, from Latin flōs, flōris.",52,"False","False","flaʊə","72003",NA,""
"1885",5166,22,56,"fly","","","Middle English flien, from Old English flēogan",53,"False","False","flaɪ","72266",NA,""
"1886",5167,22,57,"fog","","","",54,"False","False","fɔɡ","72391",NA,""
"1887",5168,22,58,"foot","","","Middle English fot, Old English fōt",55,"False","False","fʊt","72682",NA,""
"1888",5169,22,59,"four","","","Old English fēower",56,"False","False","fɔː","73969",NA,""
"1889",5170,22,60,"freeze","","","Middle English fresen, Old English freōsan",57,"False","False","fɹiːz","74442",NA,""
"1890",5171,22,61,"fruit","","","Middle English, from Old French, from Latin frūctus 'enjoyment, fruit'",58,"False","False","fɹuːt","75072",NA,""
"1891",5172,22,63,"give","","","",59,"False","False","ɡɪv","78553",NA,""
"1892",5173,22,64,"good","","","Old English gōd",60,"False","False","ɡʊd","79925",NA,""
"1893",5174,22,65,"grass","","","Middle English gras, Old English græs",61,"False","False","ɡɹɑːs","80887",NA,""
"1894",5175,22,66,"green","","","",62,"False","False","ɡɹiːn","81167",NA,""
"1895",5176,22,67,"guts","","","",63,"False","False","ɡʌts","82704",NA,""
"1896",5177,22,68,"hair","","","",64,"False","False","hɛː","83299",NA,""
"1897",5178,22,69,"hand","","","",65,"False","False","hænd","83801",NA,""
"1898",5179,22,70,"he","","","",66,"False","False","hiː","84893?",NA,""
"1899",5180,22,71,"head","","","",67,"False","False","hɛd","84896",NA,""
"1900",5181,22,72,"hear","","","Middle English hearen, Old English hīeran",68,"False","False","hɪə","85048",NA,""
"1901",5182,22,73,"heart","","","Middle English hert, Old English heorte",69,"False","False","hɑːt","85068",NA,""
"1902",5183,22,74,"heavy","","","Middle English hevi, Old English hefig",70,"False","False","ˈhɛvi","85246",NA,""
"1903",5184,22,75,"here","","","",71,"False","False","hɪə","86141?",NA,""
"1904",5185,22,76,"hit","","","Middle English hitten, Old English hyttan, from Old Norse hitta",72,"False","False","hɪt","87336",NA,""
"1905",5186,22,77,"hold","","","Middle English holden, Old English healdan",73,"False","False","həʊld","87689?",NA,""
"1906",5187,22,79,"how","","","",74,"False","False","haʊ","89004?",NA,""
"1907",5188,22,80,"hunt","","","Middle English hunten, Old English huntian",75,"False","False","hʊnt","89514",NA,""
"1908",5189,22,81,"husband","","","",76,"False","False","hʌzbənd","89647?",NA,""
"1909",5190,22,82,"I","","","",77,"False","False","aɪ","90671?",NA,""
"1910",5191,22,83,"ice","","","Middle English ise, Old English īs",78,"False","False","aɪs","90765",NA,""
"1911",5192,22,84,"if","","","",79,"False","False","ɪf","91152?",NA,""
"1912",5193,22,85,"in","","","",80,"False","False","ɪn","92969#",NA,""
"1913",5194,22,86,"kill","","","",81,"False","False","kɪl","103361",NA,""
"1914",5195,22,88,"know","","","Middle English knowen, Old English cnāwan",82,"False","False","nəʊ","104157",NA,""
"1915",5196,22,89,"lake","",""," ",83,"False","False","leɪk","105168",NA,""
"1916",5197,22,90,"laugh","","","",84,"False","False","lɑːf","106250",NA,""
"1917",5198,22,91,"leaf","","","",85,"False","False","liːf","106624",NA,""
"1918",5199,22,92,"left","",""," ",86,"False","False","lɛft","106982",NA,""
"1919",5200,22,93,"leg","","","Middle English, borrowed from Old Norse leggr",87,"False","False","lɛɡ","107003",NA,""
"1920",5201,22,94,"lie","","","Middle English lien, Old English licgan",88,"False","False","laɪ","108042?",NA,""
"1921",5202,22,95,"live","","","",89,"False","False","lɪv","109300",NA,""
"1922",5203,22,96,"liver","","","",90,"False","False","ˈlɪvə","109323",NA,""
"1923",5204,22,97,"long","","","",91,"False","False","lɔŋ","109975",NA,""
"1924",5205,22,98,"louse","","","Old English lūs",92,"False","False","laʊs","110530",NA,""
"1925",5206,22,99,"man","","","",93,"False","False","mæn","113198",NA,""
"1926",5207,22,100,"many","","","",94,"False","False","ˈmɛnɪ","113819?",NA,""
"1927",5208,22,101,"meat","","","",95,"False","False","miːt","115517",NA,""
"1928",5209,22,103,"mother","","","",96,"False","False","ˈmʌðə","122640?",NA,""
"1929",5210,22,104,"mountain","","","Middle English mountaine, from Old French montaigne, muntaigne, from Vulgar Latin *montānea from Latin montānus, from mōns, mont- 'mountain'.",97,"False","False","ˈmaʊntɪn","122893",NA,""
"1930",5211,22,105,"mouth","","","",98,"False","False","maʊθ","122997",NA,""
"1931",5212,22,106,"name","","","",99,"False","False","neɪm","124918",NA,""
"1932",5213,22,107,"narrow","","","Middle English narwe, Old English nearu",100,"False","False","ˈnæɹəʊ","125152",NA,""
"1933",5214,22,108,"near","","","",101,"False","False","nɪə","125544",NA,""
"1934",5215,22,109,"neck","","","Middle English nekke, Old English hnecca",102,"False","False","nɛk","125652",NA,""
"1935",5216,22,110,"new","","","Middle English newe, Old English nīwe, nēowe",103,"False","False","njuː","126504",NA,""
"1936",5217,22,111,"night","","","Old English niht",104,"False","False","naɪt","126965",NA,""
"1937",5218,22,112,"nose","","","",105,"False","False","nəʊz","128408",NA,""
"1938",5219,22,113,"not","","","Alternation of Middle English naught, nought",106,"False","False","nɒt","128494?",NA,""
